UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE
SISTEMA INTEGRADO DE GESTÃO DE ATIVIDADES ACADÊMICAS
RELATÓRIO DE NOTAS SEMESTRAIS
CURSO;CIÊNCIAS E TECNOLOGIA/ECT - NATAL - BACHARELADO
ANO;2017

Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170148995;9.70;APROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170148995;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170148995;10.00;APROVADO;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149016;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149016;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149016;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149016;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149016;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149016;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149034;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149034;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149034;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149034;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149034;6.70;APROVADO POR NOTA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149034;7.70;APROVADO;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149052;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149052;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149052;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149052;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149052;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149052;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149099;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149099;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170149099;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170149099;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170149099;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170149099;6.60;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149114;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149114;-;EXCLUIDA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170149114;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170149114;0.10;REPROVADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170149114;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170149114;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149132;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149132;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149132;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149132;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149132;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149132;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149150;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149150;5.00;APROVADO POR NOTA;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170149150;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170149150;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170149150;6.90;APROVADO POR NOTA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170149150;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;03;1672787-0;2356T34 (24/07/2017 - 30/09/2017);20170149179;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;03;2565098-1;36T12 (24/07/2017 - 16/12/2017);20170149179;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;03;2196137-1;2356T34 (02/10/2017 - 16/12/2017);20170149179;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;03C;2275848-0,1255011-8;5M34  25T12 (24/07/2017 - 16/12/2017);20170149179;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;03;3891450-8;4T12 (24/07/2017 - 16/12/2017);20170149179;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;03;1753033-6;4T34 (24/07/2017 - 16/12/2017);20170149179;-;EXCLUIDA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149277;-;CANCELADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149277;-;CANCELADO;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149277;-;CANCELADO;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149277;-;CANCELADO;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149277;-;CANCELADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149277;-;CANCELADO;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149295;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149295;7.00;APROVADO;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170149295;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170149295;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170149295;7.60;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170149295;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149310;7.50;APROVADO;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149310;6.60;APROVADO POR NOTA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149310;7.90;APROVADO;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149310;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149310;7.50;APROVADO;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149310;-;TRANCADO;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149339;-;EXCLUIDA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149339;0.00;REPROVADO POR MÉDIA E POR FALTAS;
2;ECT2103;CÁLCULO I;01;1671983-4;2356T12 (02/10/2017 - 16/12/2017);20170149339;-;EXCLUIDA;
2;ECT2104;QUÍMICA GERAL;01A;2276334-3;2M12  25T34 (24/07/2017 - 16/12/2017);20170149339;-;EXCLUIDA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;01;3913659-2;4T34 (24/07/2017 - 16/12/2017);20170149339;-;EXCLUIDA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;01;1051570-6;4T12 (24/07/2017 - 16/12/2017);20170149339;6.00;APROVADO POR NOTA;
2;ECT2101;PRÉ-CÁLCULO;04;1753234-7;2356N12 (24/07/2017 - 30/09/2017);20170149375;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;06;1912054-2;36N34 (24/07/2017 - 16/12/2017);20170149375;-;DESISTENCIA;
2;ECT2103;CÁLCULO I;04;1912054-2;2356N12 (02/10/2017 - 16/12/2017);20170149375;-;DESISTENCIA;
2;ECT2104;QUÍMICA GERAL;05D;3432383-1;7M12  25N34 (24/07/2017 - 16/12/2017);20170149375;-;DESISTENCIA;
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;04;3913659-2;4N34 (24/07/2017 - 16/12/2017);20170149375;-;DESISTENCIA;
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;04;1148551-7;4N12 (24/07/2017 - 16/12/2017);20170149375;-;DESISTENCIA;
2;ECT2101;PRÉ-CÁLCULO;01;3550015-0;2356T12 (24/07/2017 - 30/09/2017);20170149393;-;DESISTENCIA;
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;01;1879244-0;36T34 (24/07/2017 - 16/12/2017);20170149393;-;DESISTENCIA;
