periodo;codigo;nome;turma;siape;horário;matricula;nota;situação
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001164;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001164;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001164;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001164;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001164;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001128;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001128;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001128;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001128;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001128;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001128;-;EXCLUIDA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001502;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001502;-;EXCLUIDA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001502;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001502;7.70;APROVADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001502;6.00;APROVADO POR NOTA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001502;7.60;APROVADO
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001440;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001440;0.30;REPROVADO
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001440;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001440;-;TRANCADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001440;8.00;APROVADO
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001440;5.90;APROVADO POR NOTA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001781;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001781;0.00;CANCELADO
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001781;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001781;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001781;-;EXCLUIDA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001781;0.70;CANCELADO
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001665;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001665;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001665;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001665;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001665;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001665;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180002161;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180002161;-;TRANCADO
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180002161;-;TRANCADO
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180002161;-;TRANCADO
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180002161;-;TRANCADO
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180002161;-;TRANCADO
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180001487;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180001487;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180001487;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01B;1481705-7,1255011-8;25M56  3T34 (19/02/2018 - 07/07/2018);20180001487;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180001487;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180001487;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;4;1674079-5;2356N12 (19/02/2018 - 28/04/2018);20180001208;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;2276754-3;36N34 (19/02/2018 - 07/07/2018);20180001208;-;DESISTENCIA
1;ECT2103;CÁLCULO I;4;1672787-0;2356N12 (30/04/2018 - 07/07/2018);20180001208;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;04A;2276334-3;2T56  25N34 (19/02/2018 - 07/07/2018);20180001208;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;1746024-9;4N34 (19/02/2018 - 07/07/2018);20180001208;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1051570-6;4N12 (19/02/2018 - 07/07/2018);20180001208;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002027;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002027;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002027;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180002027;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002027;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002027;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180001843;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180001843;-;EXCLUIDA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180001843;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180001843;-;EXCLUIDA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180001843;1.50;REPROVADO POR MÉDIA E POR FALTAS
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180001843;0.00;REPROVADO
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180001763;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180001763;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180001763;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180001763;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180001763;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180001763;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002045;-;DESISTENCIA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002045;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002045;-;DESISTENCIA
1;ECT2104;QUÍMICA GERAL;01A;1255011-8,1481705-7;25M56  3T12 (19/02/2018 - 07/07/2018);20180002045;-;DESISTENCIA
1;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;3891450-8;4M56 (19/02/2018 - 07/07/2018);20180002045;-;DESISTENCIA
1;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1148551-7;4M34 (19/02/2018 - 07/07/2018);20180002045;-;DESISTENCIA
1;ECT2101;PRÉ-CÁLCULO;1;3550015-0;2356M34 (19/02/2018 - 28/04/2018);20180002081;-;EXCLUIDA
1;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;1912054-2;36M56 (19/02/2018 - 07/07/2018);20180002081;-;DESISTENCIA
1;ECT2103;CÁLCULO I;1;1091102-4;2356M34 (30/04/2018 - 07/07/2018);20180002081;-;EXCLUIDA
1;ECT2104;QUÍMICA GERAL;01A;1481705-7,1255011-8;25M56  3T12 (19/02/2018 - 07/07/2018);20180002081;-;EXCLUIDA
