"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57627273";"01";"5756751";;;"68375";"GRADUAÇÃO";"Campus Central";"Sala 9";"2018";"2";"2018-07-30";"2018-12-15";"3M3456 (30/07/2018 - 15/12/2018)";"21";"20";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627274";"01";"5753066";;;"57601";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-22";"4T1234 (30/07/2018 - 22/12/2018)";"22";"25";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627275";"01";"5752292";;;"2051709";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-22";"24T56 (30/07/2018 - 22/12/2018)";"24";"25";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627275";"01";"5752962";;;"2051709";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-22";"24T56 (30/07/2018 - 22/12/2018)";"24";"25";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627276";"01";"5759361";;;"47074";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-22";"46T34 (30/07/2018 - 22/12/2018)";"74";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627277";"01";"5753011";;;"43515";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-15";"5N1234 (30/07/2018 - 15/12/2018)";"62";"51";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627278";"01";"5759361";;;"43517";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-22";"46T56 (30/07/2018 - 22/12/2018)";"44";"44";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627279";"01";"5753014";;;"42261";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-15";"24M56 (30/07/2018 - 15/12/2018)";"57";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627281";"01A";"5760267";;;"62826";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-15";"35T34 (30/07/2018 - 15/12/2018)";"51";"30";"REGULAR";"false";;"false";"57627280";;"ABERTA";;"Presencial"
"57627283";"01A";"2298976";;;"63256";"GRADUAÇÃO";"Campus Central";"Sala 7";"2018";"2";"2018-07-30";"2018-12-22";"46M56 (30/07/2018 - 22/12/2018)";"5";"10";"REGULAR";"false";;"false";"57627282";;"ABERTA";;"Presencial"
"57627284";"01";"5753039";;;"2051851";"GRADUAÇÃO";"Campus Central";"ECT";"2018";"2";"2018-07-30";"2018-12-22";"46T12 (30/07/2018 - 22/12/2018)";"0";"2";"REGULAR";"false";;"false";;;"EXCLUÍDA";;"Presencial"
"57627285";"01";"5753045";;;"57629";"GRADUAÇÃO";"Campus Central";"Sala 3";"2018";"2";"2018-07-30";"2018-12-15";"24M56 (30/07/2018 - 15/12/2018)";"13";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627286";"02";"5752172";;;"57629";"GRADUAÇÃO";"Campus Central";"Sala 6";"2018";"2";"2018-07-30";"2018-12-15";"35N12 (30/07/2018 - 15/12/2018)";"12";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627287";"03";"5756827";;;"57629";"GRADUAÇÃO";"Campus Central";"Sala 1";"2018";"2";"2018-07-30";"2018-12-15";"24T56 (30/07/2018 - 15/12/2018)";"29";"50";"REGULAR";"false";;"false";;;"ABERTA";;"Presencial"
"57627291";"02A";"5753754";;;"57595";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"2M456 (13/08/2018 - 10/11/2018)";"50";"28";"REGULAR";"false";;"false";"57627290";;"ABERTA";;"Presencial"
"57627293";"03A";"5752719";;;"57595";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"3M123 (13/08/2018 - 10/11/2018)";"23";"23";"REGULAR";"false";;"false";"57627292";;"ABERTA";;"Presencial"
"57627295";"04A";"5753754";;;"57595";"GRADUAÇÃO";"Campus Central";"Lab.Física";"2018";"2";"2018-08-13";"2018-11-10";"3M456 (13/08/2018 - 10/11/2018)";"29";"28";"REGULAR";"false";;"false";"57627294";;"ABERTA";;"Presencial"
