Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação
2;CIV1106;FUNDAMENTOS DE CARTOGRAFIA E SENSORIAMENTO REMOTO;2;3060504-2;24T56;20180044134;6.00;APROVADO POR NOTA
2;ECT2413;MECÂNICA DOS FLUIDOS;2;1271737-3;35M56 (22/07/2019 - 07/12/2019);2016019070;5.70;APROVADO POR NOTA
2;CIV1202;GESTÃO AMBIENTAL;1;3089275-1;24M34;2016019070;7.40;APROVADO
2;ECT2412;MECÂNICA DOS SÓLIDOS;1;2087565-9;46M56 (22/07/2019 - 07/12/2019);2016019070;2.00;REPROVADO
2;CIV1104;HIDROLOGIA;1;1759777-5;35T34;2016019070;5.50;APROVADO POR NOTA
2;CIV1105;ECOLOGIA APLICADA À ENGENHARIA AMBIENTAL;1;1177742-9;24T34;2016019070;7.10;APROVADO
2;ECT2307;FÍSICA EXPERIMENTAL I;02A;1354851-6,1717472-6;2T123 (05/08/2019 - 09/11/2019);20180032213;5.80;APROVADO POR NOTA
2;MEC1610;ELEMENTOS DE AUTOMAÇÃO INDUSTRIAL;1;3030693-2;24T56 (22/07/2019 - 07/12/2019);20170033093;8.80;APROVADO
2;MEC1608;MÁQUINAS DE FLUXO;1;349104-0;24T34 (22/07/2019 - 07/12/2019);20170033093;9.00;APROVADO
2;ECT2415;EQUAÇÕES DIFERENCIAIS;2;2340200-0;35N12 (22/07/2019 - 07/12/2019);20170033093;9.80;APROVADO
2;MEC1602;SISTEMAS TÉRMICOS II;1;1770049-5;35T56 (22/07/2019 - 07/12/2019);20170033093;7.40;APROVADO
2;MEC1601;PROCESSOS DE FABRICAÇÃO MECÂNICA I;1;2613355-7;35T34 (22/07/2019 - 07/12/2019);20170033093;9.10;APROVADO
2;DCA0105;TEORIA DE CIRCUITOS;1;346287-2,3157048-0;35T34;2013090831;1.30;REPROVADO
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;02D;1170845-1,1845280-1;5M56  46T34 (22/07/2019 - 07/12/2019);20180032492;3.60;REPROVADO
2;ECT2202;ÁLGEBRA LINEAR;2;1508148-8;46M56 (22/07/2019 - 07/12/2019);20180032492;0.70;REPROVADO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;1;1319338-6;2T34 (22/07/2019 - 07/12/2019);20180032492;8.40;APROVADO
2;ECT2103;CÁLCULO I;8;1091102-4;35T56 (22/07/2019 - 07/12/2019);20180032492;4.00;REPROVADO
2;ICE1037;INTRODUÇÃO À NEUROCIÊNCIA;1;1728817-9;24M234 (29/07/2019 - 06/09/2019);20180032492;6.40;APROVADO POR NOTA
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;1;1319338-6;2T34 (22/07/2019 - 07/12/2019);20190079250;5.50;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20190079250;-;INDEFERIDO
2;DCA0100;MATEMATICA DISCRETA;1;1149639-0;35M56;20190079250;-;INDEFERIDO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;2;3242299-9;3T12 (22/07/2019 - 07/12/2019);20190079250;6.00;APROVADO POR NOTA
2;ECT2412;MECÂNICA DOS SÓLIDOS;2;1752508-1;46M34 (22/07/2019 - 07/12/2019);20190152260;-;TRANCADO
2;ECT2303;LINGUAGEM DE PROGRAMAÇÃO;04C;3051115-3;7M56  35N34 (22/07/2019 - 07/12/2019);20190152260;0.10;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;7;4857669-9;25M56 (22/07/2019 - 07/12/2019);20180110543;5.80;APROVADO POR NOTA
2;ECT2521;PROJETOS COM MICROCONTROLADORES E MINICOMPUTADORES;1;4523538-6,2614800-7;6M1234 (22/07/2019 - 07/12/2019);20170138237;9.20;APROVADO
2;CIV1302;HIDRÁULICA PARA ENGENHARIA AMBIENTAL;1;1222082-7;35T56;2016011116;7.10;APROVADO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;1;3242299-9;2T12 (22/07/2019 - 07/12/2019);20190072295;6.70;APROVADO POR NOTA
2;CIV1306;GESTÃO DE RECURSOS HÍDRICOS;1;1759777-5;35T12;2016011116;7.30;APROVADO
2;CIV1303;SANEAMENTO AMBIENTAL;1;3089275-1;26T56;2016011116;8.70;APROVADO
2;CIV1304;RECUPERAÇÃO DE ÁREAS DEGRADADAS;1;3089275-1,1662859-6;35T34;2016011116;9.10;APROVADO
2;CIV1206;MICROBIOLOGIA AMBIENTAL;1;1764855-8;5M3456 (22/07/2019 - 07/12/2019);2016011116;8.40;APROVADO
2;ECO0001;INTRODUCAO A ECONOMIA I;2;1149621-7;46N34;20190083181;-;INDEFERIDO
2;ADM0510;MERCADO FINANCEIRO;1;1802347-1;24N12;20190083181;9.30;APROVADO
2;ECT1564;GESTÃO ESTRATÉGICA;1;1753067-1,3143010-6;24T56 (22/07/2019 - 07/12/2019);20190083181;7.60;APROVADO
2;ECT2301;CÁLCULO III;1;2340200-0;35T34 (22/07/2019 - 07/12/2019);20180033257;8.50;APROVADO
2;ECT2411;CIÊNCIA E TECNOLOGIA DOS MATERIAIS;01A;1718775-5,3057895-9;24M34 (22/07/2019 - 18/08/2019), 24M34  3T12 (19/08/2019 - 05/10/2019), 24M34 (06/10/2019 - 16/11/2019);20180033257;5.30;APROVADO POR NOTA
2;ECT2307;FÍSICA EXPERIMENTAL I;02A;1354851-6,1717472-6;2T123 (05/08/2019 - 09/11/2019);20180033257;6.20;APROVADO POR NOTA
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;3143010-6,1753067-1;35M56 (22/07/2019 - 07/12/2019);20180033257;6.00;APROVADO POR NOTA
2;ECT2401;COMPUTAÇÃO NUMÉRICA;02A;4523538-6;35M34  6T34 (22/07/2019 - 23/11/2019);20180033257;4.60;REPROVADO
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;2;1808127-6;46T12 (22/07/2019 - 07/12/2019);20180033257;6.60;APROVADO POR NOTA
2;ECT2413;MECÂNICA DOS FLUIDOS;4;3068002-8;35N12 (22/07/2019 - 07/12/2019);2013023820;-;CANCELADO
2;ECT2403;FÍSICA EXPERIMENTAL II;05A;1718474-8;6T234 (05/08/2019 - 09/11/2019);2014029550;5.30;APROVADO POR NOTA
2;ECT2301;CÁLCULO III;4;2583622-8;35N12 (22/07/2019 - 07/12/2019);20190003805;2.80;REPROVADO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;4;1755308-5;2N12 (22/07/2019 - 07/12/2019);20190003805;4.80;REPROVADO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;04C;1312423-6;7M56  35N34 (22/07/2019 - 23/11/2019);20190003805;0.00;REPROVADO
2;DEB0604;BASES CINESIOLÓGICAS DO MOVIMENTO HUMANO;1;2682800-8;56N12;20170115564;8.50;APROVADO
2;DEB0503;SISTEMAS DE INFORMAÇÃO NA SAÚDE;1;2613423-5;3N12 5N34;20170115564;6.20;APROVADO POR NOTA
2;DEB0504;INTRODUÇÃO À ENGENHARIA BIOMÉDICA;1;1752038-1;36N34;20170115564;6.70;APROVADO POR NOTA
2;DCA0103;ANALISE DE SINAIS E SISTEMAS;2;347052-2;246M34;20170115564;-;INDEFERIDO
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20190072295;0.90;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;5;1879244-0;2356N34 (22/07/2019 - 21/09/2019);20190072295;0.10;REPROVADO
2;ECT2103;CÁLCULO I;5;1672787-0;2356N34 (23/09/2019 - 07/12/2019);20190072295;-;INDEFERIDO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;5;2565098-1;25N12 (22/07/2019 - 07/12/2019);20190072295;1.80;REPROVADO
2;ECT2104;QUÍMICA GERAL;03A;1523912-0,2275848-0,1481705-7,3143826-3;5M12  36T12 (22/07/2019 - 07/12/2019);20190072295;0.60;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2402;INTRODUÇÃO À FÍSICA CLÁSSICA III;2;1328776-3;46M56 (22/07/2019 - 07/12/2019);20170002275;3.40;CANCELADO
2;ECT2413;MECÂNICA DOS FLUIDOS;2;1271737-3;35M56 (22/07/2019 - 07/12/2019);20170002275;1.00;CANCELADO
2;ECT2412;MECÂNICA DOS SÓLIDOS;2;1752508-1;46M34 (22/07/2019 - 07/12/2019);20170002275;0.20;CANCELADO
2;ECT2301;CÁLCULO III;1;2340200-0;35T34 (22/07/2019 - 07/12/2019);20170002275;0.00;CANCELADO
2;ECT2414;ELETRICIDADE APLICADA;02D;1658061-5;35T56 6T12 (22/07/2019 - 08/09/2019),  35T56 (09/09/2019 - 23/11/2019);20170138237;6.20;APROVADO POR NOTA
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;2;1808127-6;46T12 (22/07/2019 - 07/12/2019);20180032213;5.10;APROVADO POR NOTA
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;1753067-1,3143010-6;35M56 (22/07/2019 - 07/12/2019);20180032213;5.90;APROVADO POR NOTA
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;4;3242299-9;2N12 (22/07/2019 - 07/12/2019);20180156650;-;INDEFERIDO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;04D;1312423-6;7M56  35N34 (22/07/2019 - 23/11/2019);20180156650;0.00;CANCELADO
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;4;1672409-9;24N34 (22/07/2019 - 07/12/2019);20180156650;0.40;CANCELADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;5;3058487-8;4N12 (22/07/2019 - 07/12/2019);20180156650;0.00;CANCELADO
2;ECT2201;CÁLCULO II;4;1912054-2;35N12 (22/07/2019 - 07/12/2019);20180156650;0.00;CANCELADO
2;ECT2414;ELETRICIDADE APLICADA;02A;1658061-5;3T1256 5T56 (22/07/2019 - 08/09/2019),  35T56 (09/09/2019 - 23/11/2019);20150126533;2.00;REPROVADO
2;CIV1202;GESTÃO AMBIENTAL;1;3089275-1;24M34;20150126533;6.20;APROVADO POR NOTA
2;QUI1000;QUÍMICA AMBIENTAL;1;3149615-8;46T12;20150126533;6.80;APROVADO POR NOTA
2;CIV1203;PEDOLOGIA;1;1662859-6;3M3456;20150126533;7.40;APROVADO
2;CIV1104;HIDROLOGIA;1;1759777-5;35T34;20150126533;5.10;APROVADO POR NOTA
2;CIV1205;QUALIDADE DA ÁGUA;1;3057847-9;35M12;20150126533;5.70;APROVADO POR NOTA
2;CIV1206;MICROBIOLOGIA AMBIENTAL;1;1764855-8;5M3456 (22/07/2019 - 07/12/2019);20150126533;5.60;APROVADO POR NOTA
2;ECT2201;CÁLCULO II;4;1912054-2;35N12 (22/07/2019 - 07/12/2019);20170043278;0.30;REPROVADO
2;ECT1503;MATEMÁTICA FINANCEIRA;1;1753123-5;35T56 (22/07/2019 - 07/12/2019);20180109560;4.00;REPROVADO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;5;1319338-6;2N12 (22/07/2019 - 07/12/2019);20170138237;8.90;APROVADO
2;DEF0650;ATIVIDADE FISICA, SAUDE E QUALIDADE DE VIDA;1;347294-1;35M56;20160107827;8.30;APROVADO
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;3;2550037-8;46N12 (22/07/2019 - 07/12/2019);20160107827;-;DESISTENCIA
2;DCO1003;REDES DE COMPUTADORES;1;1804383-8;35N12;20160107827;3.50;REPROVADO
2;CIV1101;GEOLOGIA AMBIENTAL;1;3060504-2;35T56;20160107827;5.00;APROVADO POR NOTA
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;1;1753234-7;35T12 (22/07/2019 - 07/12/2019);20160107827;-;INDEFERIDO
2;ECT2307;FÍSICA EXPERIMENTAL I;08A;1718474-8;6M234 (05/08/2019 - 09/11/2019);20160107827;5.00;APROVADO POR NOTA
2;ECT2301;CÁLCULO III;2;1671983-4;35T34 (22/07/2019 - 07/12/2019);20160107827;5.00;APROVADO POR NOTA
2;ECT2307;FÍSICA EXPERIMENTAL I;01A;1354851-6,1717472-6;2M234 (05/08/2019 - 09/11/2019);20180031557;5.90;APROVADO POR NOTA
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;1;1674419-7;35T56 (22/07/2019 - 07/12/2019);20180031851;7.40;APROVADO
2;ECT2307;FÍSICA EXPERIMENTAL I;03A;1808127-6;2T456 (05/08/2019 - 09/11/2019);20180031851;6.00;APROVADO POR NOTA
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;5;1319338-6;2N12 (22/07/2019 - 07/12/2019);20180031851;5.60;APROVADO POR NOTA
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;2;1808127-6;46T12 (22/07/2019 - 07/12/2019);20180031851;5.60;APROVADO POR NOTA
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;2;3242299-9;3T12 (22/07/2019 - 07/12/2019);20180031851;5.70;APROVADO POR NOTA
2;ECT2301;CÁLCULO III;1;2340200-0;35T34 (22/07/2019 - 07/12/2019);20180031851;6.10;APROVADO POR NOTA
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;3;2550037-8;46N12 (22/07/2019 - 07/12/2019);20180107600;-;DESISTENCIA
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;2;1755308-5;2T56 (22/07/2019 - 07/12/2019);20180107600;5.20;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20180031557;-;INDEFERIDO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;3143010-6,1753067-1;35M56 (22/07/2019 - 07/12/2019);20180031557;6.30;APROVADO POR NOTA
2;ECT2201;CÁLCULO II;1;1753781-1;35M34 (22/07/2019 - 07/12/2019);20180031557;2.30;REPROVADO
2;DCA0213.1;ELETRÔNICA - LABORATÓRIO;1;1149567-9;6T34;20170138237;7.60;APROVADO
2;DCA0213.0;ELETRÔNICA - TEORIA;1;1149567-9;24M34;20170138237;7.60;APROVADO
2;ECT2412;MECÂNICA DOS SÓLIDOS;3;3068002-8,2087565-9;46N34 (22/07/2019 - 07/12/2019);20160143251;5.90;APROVADO POR NOTA
2;ECT2412;MECÂNICA DOS SÓLIDOS;3;3068002-8,2087565-9;46N34 (22/07/2019 - 07/12/2019);20170042790;7.00;APROVADO
2;ECT2415;EQUAÇÕES DIFERENCIAIS;2;2340200-0;35N12 (22/07/2019 - 07/12/2019);20170042790;7.90;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;4;2218079-8,1718775-5;46N12 (22/07/2019 - 07/12/2019);20170037350;5.50;CANCELADO
2;ECT2416;EXPRESSÃO GRÁFICA;03A;2266607-1;2N1234 (22/07/2019 - 07/12/2019);20170037350;-;INDEFERIDO
2;ECT2201;CÁLCULO II;4;1912054-2;35N12 (22/07/2019 - 07/12/2019);20170037350;2.00;CANCELADO
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;3;2550037-8;46N12 (22/07/2019 - 07/12/2019);20170041872;7.70;APROVADO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;03B;3051115-3,1671947-8;4T56  35N34 (22/07/2019 - 23/11/2019);20170041872;1.50;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20180039493;-;INDEFERIDO
2;ECT2201;CÁLCULO II;4;1912054-2;35N12 (22/07/2019 - 07/12/2019);20180131202;2.00;REPROVADO
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;3;2550037-8;46N12 (22/07/2019 - 07/12/2019);20180131202;-;DESISTENCIA
2;FPE0087;LÍNGUA BRASILEIRA DE SINAIS - LIBRAS;11;3066375-1;2N1234 (22/07/2019 - 07/12/2019);20180131202;-;INDEFERIDO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;03B;1671947-8,3051115-3;4T56  35N34 (22/07/2019 - 23/11/2019);20180131202;5.10;APROVADO POR NOTA
2;ECT2307;FÍSICA EXPERIMENTAL I;06A;1354851-6,1717472-6;3T123 (05/08/2019 - 09/11/2019);20180131202;6.10;APROVADO POR NOTA
2;ECT2402;INTRODUÇÃO À FÍSICA CLÁSSICA III;1;1328776-3;46M12 (22/07/2019 - 07/12/2019);20180030774;8.20;APROVADO
2;ECT2412;MECÂNICA DOS SÓLIDOS;1;2087565-9;46M56 (22/07/2019 - 07/12/2019);20180030774;6.00;APROVADO POR NOTA
2;ECT2403;FÍSICA EXPERIMENTAL II;06A;1801831-1;7M345 (05/08/2019 - 16/11/2019);20180030774;8.50;APROVADO
2;ECT2411;CIÊNCIA E TECNOLOGIA DOS MATERIAIS;01C;3057895-9,1718775-5;24M34 (22/07/2019 - 18/08/2019), 24M34  5T12 (19/08/2019 - 05/10/2019), 24M34 (06/10/2019 - 16/11/2019);20180030774;7.60;APROVADO
2;ECT2103;CÁLCULO I;5;1672787-0;2356N34 (23/09/2019 - 07/12/2019);20180039072;6.70;APROVADO POR NOTA
2;FPE0087;LÍNGUA BRASILEIRA DE SINAIS - LIBRAS;3;3066375-1;4N1234 (22/07/2019 - 07/12/2019);20180039072;-;INDEFERIDO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;5;2565098-1;25N12 (22/07/2019 - 07/12/2019);20180039072;6.10;APROVADO POR NOTA
2;ECT1564;GESTÃO ESTRATÉGICA;1;1753067-1,3143010-6;24T56 (22/07/2019 - 07/12/2019);20180039072;5.30;APROVADO POR NOTA
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;02B;2459504-9;46M34  3T34 (22/07/2019 - 23/11/2019);20180039072;1.80;REPROVADO
2;DEB0601;IMPLANTES ODONTO-MÉDICOS;1;1752038-1;36N12;20180039072;1.70;REPROVADO
2;ECT1531;PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS DA ESFERA PROFISSIONAL;1;1673239-3,3891450-8;35T56 (22/07/2019 - 02/11/2019);20180039072;5.80;APROVADO POR NOTA
2;ECT2401;COMPUTAÇÃO NUMÉRICA;04D;2614800-7,1671947-8;7M34  35N12 (22/07/2019 - 23/11/2019);20160142595;5.30;APROVADO POR NOTA
2;DEB0706;BIOSSEGURANÇA E BIOÉTICA;1;1365498-7;35N12;2016017530;7.40;APROVADO
2;DEB0505;GESTÃO E EMPREENDEDORISMO NA SAÚDE;1;1229030-2;6T3456;2016017530;9.10;APROVADO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;1;3242299-9;2T12 (22/07/2019 - 07/12/2019);20190085121;2.00;REPROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;6;3058487-8;4N34 (22/07/2019 - 07/12/2019);20190072796;5.70;APROVADO POR NOTA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;6;3891450-8;4N12 (22/07/2019 - 07/12/2019);20190072796;6.10;APROVADO POR NOTA
2;DCA0104;ARQUITETURA DE COMPUTADORES;1;2452782-5;24M12;2016016337;7.30;APROVADO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;01A;1943220-0,1312423-6;46M12  2T34 (22/07/2019 - 23/11/2019);20190072750;-;INDEFERIDO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;6;2218079-8,1718775-5;46T34 (22/07/2019 - 07/12/2019);20170043278;0.00;REPROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;2;2913810-0;46T12 (22/07/2019 - 07/12/2019);20190074834;9.60;APROVADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753123-5;35M56 (22/07/2019 - 07/12/2019);20190074834;7.80;APROVADO
2;ECT2202;ÁLGEBRA LINEAR;2;1508148-8;46M56 (22/07/2019 - 07/12/2019);20190074834;6.40;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20190074834;7.30;APROVADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;1;1753234-7;35T12 (22/07/2019 - 07/12/2019);20190074834;8.70;APROVADO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;03A;1763991-5;46M34  4T34 (22/07/2019 - 23/11/2019);20190074834;9.50;APROVADO
2;ECT2201;CÁLCULO II;2;2141197-4;35M34 (22/07/2019 - 07/12/2019);20190074834;9.20;APROVADO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;4;3242299-9;2N12 (22/07/2019 - 07/12/2019);20180039770;8.70;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;4;2218079-8,1718775-5;46N12 (22/07/2019 - 07/12/2019);20180039770;5.80;APROVADO POR NOTA
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;04A;1312423-6;5T56  35N34 (22/07/2019 - 23/11/2019);20180039770;9.50;APROVADO
2;ECT2202;ÁLGEBRA LINEAR;1;1680333-9;46M56 (22/07/2019 - 07/12/2019);20190075994;8.50;APROVADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;1;1753234-7;35T12 (22/07/2019 - 07/12/2019);20190075994;8.20;APROVADO
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20190075994;7.10;APROVADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;1;3143010-6,1753067-1;35M56 (22/07/2019 - 07/12/2019);20190075994;8.70;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;2;2913810-0;46T12 (22/07/2019 - 07/12/2019);20190075994;8.70;APROVADO
2;ECT2201;CÁLCULO II;2;2141197-4;35M34 (22/07/2019 - 07/12/2019);20190075994;9.80;APROVADO
2;ECT2203;LÓGICA DE PROGRAMAÇÃO;03A;1763991-5;46M34  4T34 (22/07/2019 - 23/11/2019);20190075994;8.60;APROVADO
2;ECT2206;GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO;2;1753123-5;35M56 (22/07/2019 - 07/12/2019);20190085121;4.30;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20180033195;-;INDEFERIDO
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;3;1615358-0;35T34 (22/07/2019 - 07/12/2019);2016019910;-;CANCELADO
2;ICE1001;NEUROBIOLOGIA CELULAR;1;1698305-1,2183828-5;24M234 (09/09/2019 - 06/12/2019);2016019910;-;CANCELADO
2;ECT2301;CÁLCULO III;3;1671983-4;35T56 (22/07/2019 - 07/12/2019);2016019910;-;CANCELADO
2;ECT2207;PROBABILIDADE E ESTATÍSTICA;3;1914304-6;35N12 (22/07/2019 - 07/12/2019);2016019910;-;CANCELADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;6;2218079-8,1718775-5;46T34 (22/07/2019 - 07/12/2019);2016019910;-;CANCELADO
2;ECT2416;EXPRESSÃO GRÁFICA;03A;2266607-1;2N1234 (22/07/2019 - 07/12/2019);2015093654;-;INDEFERIDO
2;ECT2307;FÍSICA EXPERIMENTAL I;09A;1801831-1;7T123 (05/08/2019 - 16/11/2019);2015093654;-;INDEFERIDO
2;ECT2401;COMPUTAÇÃO NUMÉRICA;04B;1671947-8,3051115-3;4T56  35N12 (22/07/2019 - 23/11/2019);2015093654;-;INDEFERIDO
2;ECT2201;CÁLCULO II;5;1912054-2;35N34 (22/07/2019 - 07/12/2019);2015093654;5.10;APROVADO POR NOTA
2;ECT2304;INTRODUÇÃO À FÍSICA CLÁSSICA II;3;2550037-8;46N12 (22/07/2019 - 07/12/2019);2015093654;8.40;APROVADO
2;ECT2305;PRÁTICA DE LEITURA EM INGLÊS;6;1319338-6;2N34 (22/07/2019 - 07/12/2019);20180135883;5.10;APROVADO POR NOTA
2;MEC1508;DINÂMICA;2;3153425-4;4N34 6N12 (22/07/2019 - 07/12/2019);20190105206;7.80;APROVADO
2;MEC1509;METROLOGIA INDUSTRIAL;2;1792681-7;5N1234 (22/07/2019 - 07/12/2019);20190105206;8.70;APROVADO
2;MEC1507;SISTEMAS TÉRMICOS I;4;2014591-0;24N12 (22/07/2019 - 07/12/2019);20190105206;5.10;APROVADO POR NOTA
2;MEC1505;CAD PARA ENGENHARIA I;5;3151629-9;3N1234 (22/07/2019 - 07/12/2019);20190105206;7.30;APROVADO
2;MEC1506;METALOGRAFIA E TRATAMENTOS TÉRMICOS;2;2550377-6;26N34 (22/07/2019 - 07/12/2019);20190105206;6.40;APROVADO POR NOTA
2;ECT2521;PROJETOS COM MICROCONTROLADORES E MINICOMPUTADORES;1;4523538-6,2614800-7;6M1234 (22/07/2019 - 07/12/2019);2016016337;7.40;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;2;2913810-0;46T12 (22/07/2019 - 07/12/2019);20170118109;1.70;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2306;MEIO AMBIENTE E DESENVOLVIMENTO URBANO;3;1615358-0;35T34 (22/07/2019 - 07/12/2019);20170118109;5.40;APROVADO POR NOTA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;6;2565098-1;25N34 (22/07/2019 - 07/12/2019);20170118109;5.80;REPROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;3;3058487-8;4T34 (22/07/2019 - 07/12/2019);20170039355;0.80;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;3;6350665-5;2356T34 (22/07/2019 - 21/09/2019);20170039355;0.20;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;3;1746024-9;4T12 (22/07/2019 - 07/12/2019);20170039355;7.80;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;3;2571630-3;25T12 (22/07/2019 - 07/12/2019);20170039355;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;3;2196137-1;2356T34 (23/09/2019 - 07/12/2019);20170039355;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2104;QUÍMICA GERAL;03C;1481705-7,1523912-0,3143826-3,2275848-0;5M56  36T12 (22/07/2019 - 07/12/2019);20170039355;0.60;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20190076276;-;INDEFERIDO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190076276;6.80;APROVADO POR NOTA
2;ECT2205;PRÁTICAS DE LEITURA E ESCRITA II;2;3030343-7;2M56 (22/07/2019 - 07/12/2019);20180036670;-;INDEFERIDO
2;ECT2302;METODOLOGIA CIENTÍFICA E TECNOLÓGICA;1;3242299-9;2T12 (22/07/2019 - 07/12/2019);20180036670;8.00;APROVADO
2;ECT2204;INTRODUÇÃO À FÍSICA CLÁSSICA I;2;2913810-0;46T12 (22/07/2019 - 07/12/2019);20190076015;6.10;APROVADO POR NOTA
